2022-02-17 00:00:56 === [RMI TCP Connection(11)-127.0.0.1] === INFO  === o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin ==== Application shutdown requested.
2022-02-17 00:00:58 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== Starting DemoApplication using Java 17.0.1 on LAPTOP-2HB5VIH5 with PID 24864 (C:\eclipse\eclipse-workspace\webCreateTest\target\classes started by USER in C:\eclipse\eclipse-workspace\webCreateTest)
2022-02-17 00:00:58 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== No active profile set, falling back to default profiles: default
2022-02-17 00:00:59 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer ==== Tomcat initialized with port(s): 8095 (https)
2022-02-17 00:00:59 === [main] === INFO  === org.apache.catalina.core.StandardService ==== Starting service [Tomcat]
2022-02-17 00:00:59 === [main] === INFO  === org.apache.catalina.core.StandardEngine ==== Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-02-17 00:00:59 === [main] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] ==== Initializing Spring embedded WebApplicationContext
2022-02-17 00:00:59 === [main] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext ==== Root WebApplicationContext: initialization completed in 1283 ms
2022-02-17 00:01:00 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer ==== Tomcat started on port(s): 8095 (https) with context path ''
2022-02-17 00:01:00 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== Started DemoApplication in 2.757 seconds (JVM running for 3.552)
2022-02-17 00:01:06 === [https-jsse-nio-8095-exec-4] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] ==== Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-17 00:01:06 === [https-jsse-nio-8095-exec-4] === INFO  === org.springframework.web.servlet.DispatcherServlet ==== Initializing Servlet 'dispatcherServlet'
2022-02-17 00:01:06 === [https-jsse-nio-8095-exec-4] === INFO  === org.springframework.web.servlet.DispatcherServlet ==== Completed initialization in 1 ms
2022-02-17 00:41:13 === [RMI TCP Connection(48)-127.0.0.1] === INFO  === o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin ==== Application shutdown requested.
2022-02-17 00:45:25 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== Starting DemoApplication using Java 17.0.1 on LAPTOP-2HB5VIH5 with PID 26208 (C:\eclipse\eclipse-workspace\webCreateTest\target\classes started by USER in C:\eclipse\eclipse-workspace\webCreateTest)
2022-02-17 00:45:25 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== No active profile set, falling back to default profiles: default
2022-02-17 00:45:26 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer ==== Tomcat initialized with port(s): 8095 (https)
2022-02-17 00:45:26 === [main] === INFO  === org.apache.catalina.core.StandardService ==== Starting service [Tomcat]
2022-02-17 00:45:26 === [main] === INFO  === org.apache.catalina.core.StandardEngine ==== Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-02-17 00:45:27 === [main] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] ==== Initializing Spring embedded WebApplicationContext
2022-02-17 00:45:27 === [main] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext ==== Root WebApplicationContext: initialization completed in 1324 ms
2022-02-17 00:45:27 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer ==== Tomcat started on port(s): 8095 (https) with context path ''
2022-02-17 00:45:27 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== Started DemoApplication in 2.848 seconds (JVM running for 3.638)
2022-02-17 00:45:34 === [https-jsse-nio-8095-exec-4] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] ==== Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-17 00:45:34 === [https-jsse-nio-8095-exec-4] === INFO  === org.springframework.web.servlet.DispatcherServlet ==== Initializing Servlet 'dispatcherServlet'
2022-02-17 00:45:34 === [https-jsse-nio-8095-exec-4] === INFO  === org.springframework.web.servlet.DispatcherServlet ==== Completed initialization in 1 ms
2022-02-17 00:46:21 === [RMI TCP Connection(10)-127.0.0.1] === INFO  === o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin ==== Application shutdown requested.
2022-02-17 00:46:23 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== Starting DemoApplication using Java 17.0.1 on LAPTOP-2HB5VIH5 with PID 30216 (C:\eclipse\eclipse-workspace\webCreateTest\target\classes started by USER in C:\eclipse\eclipse-workspace\webCreateTest)
2022-02-17 00:46:23 === [main] === INFO  === com.estherNmorga.demo.DemoApplication ==== No active profile set, falling back to default profiles: default
2022-02-17 00:46:25 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer ==== Tomcat initialized with port(s): 8095 (https)
2022-02-17 00:46:25 === [main] === INFO  === org.apache.catalina.core.StandardService ==== Starting service [Tomcat]
2022-02-17 00:46:25 === [main] === INFO  === org.apache.catalina.core.StandardEngine ==== Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-02-17 00:46:25 === [main] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] ==== Initializing Spring embedded WebApplicationContext
2022-02-17 00:46:25 === [main] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext ==== Root WebApplicationContext: initialization completed in 1223 ms
